店铺名,星级,点评数量,人均,口味,环境,服务
穆益轩羊蝎子(牛街店),准五星商户,397,￥84,8.5,8.1,7.4
东来顺饭庄(城乡世纪广场店),准五星商户,680,￥117,8.6,9.0,8.2
陈阿婆鱼火锅(虎坊桥店),准五星商户,871,￥104,8.8,9.0,8.8
川上城重庆老灶火锅(三里河店),准五星商户,2177,￥84,8.4,8.6,8.5
小肥羊(八角南路店),准五星商户,5463,￥86,8.5,8.4,8.3
阿丽斑鱼庄(洋桥店),准五星商户,2651,￥97,8.9,8.8,7.8
李记涮肉,准五星商户,42,￥77,9.0,8.8,8.6
愚掌门鱼火锅(翠微店),准五星商户,1173,￥98,9.0,8.6,8.9
虾吃虾涮(朝阳大悦城店),准五星商户,864,￥80,8.9,8.6,8.9
黔道老坛酸菜鱼火锅(国鹏大厦店),准五星商户,3037,￥79,8.7,9.0,8.8
豆捞坊(火锅餐厅),准五星商户,1266,￥110,8.2,8.6,7.8
福和小馆,五星商户,327,￥74,9.0,9.2,9.0
老诚一锅(良乡南关店),五星商户,1005,￥74,9.1,8.8,8.8
老诚一锅(学院桥店),准五星商户,327,￥89,8.8,8.4,8.3
热辣壹号(永旺梦乐城店),准五星商户,2045,￥117,8.7,9.0,8.7
仙潮汕牛肉火锅海鲜店,准五星商户,164,￥141,8.7,8.9,8.6
香草香草云南原生态火锅(车公庄店),准五星商户,4297,￥115,8.9,8.3,8.3
东来顺饭庄(金泉广场店),四星商户,973,￥136,8.7,8.5,7.8
脸谱港式火锅(朝阳公园店),准五星商户,483,￥327,8.6,9.2,8.6
潮汕古巷牛肉火锅(木樨园店),准五星商户,66,￥96,8.7,8.8,8.9
70后鱼馆(门头沟总店),准五星商户,524,￥87,8.6,8.1,8.0
东来顺饭庄(西单店),四星商户,2900,￥141,8.2,8.1,7.7
京涮府老北京铜锅涮肉(朝阳门店),四星商户,33,￥83,8.0,8.0,8.3
炎神·鲜牛肉火锅(北外店),准五星商户,498,￥134,8.9,8.6,8.4
滇草香云南原生态汤火锅(五棵松蓝色港湾店),四星商户,2041,￥97,8.5,9.0,8.3
大晖哥巴蜀火锅(五道口凯时广场店),五星商户,82,￥106,8.7,8.6,9.0
京门活鱼馆(百子湾店),准五星商户,270,￥125,8.8,7.6,8.2
黄门老灶火锅(永辉店),准五星商户,1242,￥76,8.8,8.5,8.6
川页老灶火锅(红莲南路店),五星商户,66,￥110,8.8,9.0,8.9
宽板凳老灶火锅(西单店),准五星商户,1196,￥125,8.9,8.2,8.0
黄门老灶火锅(石佛营店),准五星商户,1127,￥54,8.9,8.9,9.0
呷哺呷哺(主语国际店),准五星商户,272,￥90,8.9,8.4,8.1
山城辣妹子重庆火锅(定福庄店),准五星商户,2571,￥91,8.8,8.9,8.5
奕品风尚干锅辣鸭头,准五星商户,1754,￥77,9.0,7.9,8.2
四季大盘涮肉(鲁谷店),准五星商户,357,￥88,9.0,8.4,8.9
山水间羊蝎子火锅(龙潭湖店),准五星商户,1329,￥88,8.6,8.3,7.6
众宜轩老北京铜锅涮肉(建国门店),准五星商户,501,￥154,8.8,8.8,8.1
黄门老灶火锅(常营店),准五星商户,247,￥125,8.7,8.6,8.7
快来椰子鸡火锅(北京apm店),四星商户,830,￥118,8.2,8.8,8.3
康二姐串串香(望京店),四星商户,249,￥61,8.3,8.2,8.5
北华涮肉(华严北里店),准五星商户,1273,￥75,8.8,8.2,8.4
三江芦苇荡贵州酸汤鱼(和谐家园店),准五星商户,931,￥96,8.9,7.8,8.2
过锅瘾三汁焖锅(合生广场店),五星商户,420,￥70,9.0,9.1,9.0
老诚一锅(三元东桥店),准五星商户,774,￥79,8.8,7.8,7.9
汗普士涮肉馆(劲松店),准五星商户,818,￥91,9.0,8.7,8.9
我还年轻毛肚火锅(莲怡园店),五星商户,277,￥100,9.0,9.2,9.1
常赢三兄弟(燕莎店),四星商户,936,￥108,8.9,7.7,7.7
张记涮肉,准五星商户,933,￥54,8.6,7.5,7.6
老五四季涮肉(广外店),准五星商户,532,￥91,8.6,8.2,8.1
蝎王府(朝阳北路店),四星商户,4373,￥94,8.7,8.0,7.6
潮鲜牛潮汕牛肉火锅(明珠百货立汤路店),准五星商户,703,￥100,9.0,8.4,8.8
大龙燚火锅(798艺术区店),四星商户,377,￥124,8.2,7.9,8.2
炫肚ING豆皮涮牛肚(五道口店),准五星商户,2842,￥74,8.3,8.5,8.4
京都蝎府羊蝎子火锅(大兴店),准五星商户,446,￥69,9.0,9.0,8.7
羊王府涮肉,五星商户,332,￥124,9.1,9.0,8.9
老北京前后涮羊肉(交大店),准五星商户,821,￥89,8.4,8.7,8.8
新辣道鱼火锅(欧美汇店),准五星商户,5854,￥96,8.6,8.3,7.9
hi小椒串串香火锅(鼓楼麻辣香锅西大街店),准五星商户,1000,￥89,8.3,7.5,7.5
陈阿婆酸菜鱼川菜(长椿街店),准五星商户,1619,￥70,8.4,8.7,8.1
唇辣号重庆老火锅(双井店),准五星商户,893,￥118,8.8,9.0,9.0
黄门老灶火锅(和平街店),准五星商户,508,￥127,9.0,8.7,8.5
有面儿串串香火锅(百子湾店),四星商户,76,￥90,8.5,8.3,8.2
