店铺名,星级,点评数量,人均,口味,环境,服务
福口居(北太平庄店),准五星商户,5453,￥77,8.5,8.2,8.4
尽膳口福跷脚牛肉(国贸商城店),准五星商户,649,￥193,8.8,9.2,8.8
小龙坎老火锅(通州店),准五星商户,205,￥103,8.9,9.0,8.2
满朋轩餐厅,准五星商户,1643,￥83,8.8,7.8,8.1
芦月轩羊蝎子(劲松店),五星商户,401,￥81,9.1,9.1,9.1
羊大爷涮肉坊(动物园店),准五星商户,666,￥115,8.9,9.1,8.1
老九门串串香,五星商户,576,￥73,9.1,8.7,9.1
束河人家(爱琴海购物公园店),五星商户,686,￥140,8.9,9.1,9.0
唇辣号重庆老火锅(亦庄店),五星商户,119,￥114,9.2,9.1,9.2
渝味辣铺,五星商户,529,￥92,9.1,9.1,9.1
八先生涮肉房(望京诚盈中心店),五星商户,101,￥97,9.0,9.3,9.1
澐記香港火锅料理,五星商户,97,￥172,9.2,9.3,9.2
粤盛祥潮汕古法打边炉(曙光西路店),五星商户,925,￥124,9.1,8.7,9.0
小西街八十号(日坛店),准五星商户,2032,￥137,9.0,9.1,9.0
大成串串香,五星商户,162,￥83,8.8,9.1,9.1
辣府(三里屯店),准五星商户,5221,￥157,8.8,8.8,8.2
东来顺饭庄(华龙街店),五星商户,3716,￥154,9.1,8.9,8.9
鲜牛记潮汕牛肉火锅(东直门店),准五星商户,452,￥119,8.9,9.0,8.9
签上签串串香(石佛营店),五星商户,1732,￥82,9.1,9.1,9.0
海底捞火锅(BHGMall店),五星商户,888,￥114,9.2,9.2,9.2
蜀渝你的串说,五星商户,216,￥77,9.0,9.1,9.0
最牛喜事潮汕鲜牛肉火锅(和平里店),五星商户,1419,￥108,9.1,9.0,9.0
渝幺婶串串香(五道口店),准五星商户,474,￥73,8.8,9.0,9.0
丽江庭院之丽江往事(安定门店),五星商户,2203,￥139,8.8,9.1,9.0
签到处串串香,五星商户,78,￥66,9.0,9.0,9.1
丽江庭院之午后阳光(朝内店),五星商户,3974,￥158,8.9,9.1,9.1
桐记小灶儿牛板筋火锅(鼓楼店),准五星商户,2665,￥108,9.0,8.4,9.0
宋记汕头牛肉火锅自助餐厅(工体店),准五星商户,694,￥121,8.6,8.9,8.7
前后涮羊肉(紫竹桥店),五星商户,464,￥97,9.0,9.2,9.2
乐吃串串锅(广渠门内店),五星商户,146,￥77,8.9,8.7,8.8
有范儿串串香火锅(丰益桥店),准五星商户,1064,￥72,8.8,8.9,8.8
来涮蜀串串香火锅(西单店),准五星商户,650,￥90,8.9,8.8,8.9
斗川火锅(鼓楼桥店),五星商户,597,￥119,9.1,9.1,9.2
沸炉火锅.地道的川味火锅(牡丹园店),五星商户,1514,￥104,9.1,9.1,9.1
京虎门爆肚涮肉(宋家庄店),五星商户,902,￥96,9.1,9.1,8.6
左庭右院鲜牛肉火锅(朝阳大悦城店),准五星商户,1799,￥122,8.7,9.0,8.6
潮牛宴·鲜牛火锅(西便门店),五星商户,779,￥99,9.1,9.1,9.1
九记牛莊潮汕鲜牛肉火锅,五星商户,565,￥116,9.0,9.2,9.0
海银海记潮汕鲜牛肉火锅(方庄店),五星商户,546,￥94,9.0,9.1,9.0
甲丁南坪打边炉,准五星商户,118,￥105,9.0,8.9,8.9
海边蟹逅肉蟹煲,准五星商户,569,￥70,8.4,9.1,9.0
老诚一锅(六里桥总店),五星商户,1151,￥96,9.3,9.3,9.3
花园老北京铜锅涮肉,五星商户,351,￥94,9.1,8.4,9.0
老拂爷·铜炉蛙锅(五道口店),准五星商户,359,￥85,8.9,8.7,8.0
丽江庭院之柔软时光(鼓楼店),准五星商户,3801,￥149,8.5,9.0,8.7
红鼎海鲜捞(北京坊店),五星商户,1140,￥189,9.1,9.3,9.2
鲸鲲海鲜自助火锅,准五星商户,87,￥167,8.9,8.7,9.1
湊湊 火锅·茶憩(龙德广场店),五星商户,99,￥124,9.1,9.3,9.2
鲜牛记潮汕牛肉火锅(亚运村店),准五星商户,1769,￥126,9.0,8.6,8.5
三只耳河鲜馆(保利店),准五星商户,7523,￥109,8.6,8.4,8.3
陈记·老北京铜锅涮肉(左家庄店),准五星商户,102,￥78,8.8,9.0,9.0
蜀千千串串香火锅(簋街店原东四店),准五星商户,1011,￥96,8.9,8.7,8.9
锅说一次用油老火锅(五棵松店),准五星商户,823,￥128,8.6,8.8,8.3
醉香苑老北京火锅(南新仓店),五星商户,1932,￥113,9.0,9.1,9.0
亮健容天土锅羊蝎子(净土胡同总店),五星商户,2036,￥80,9.2,8.1,8.9
来蜀乾串串香(北京总店),准五星商户,457,￥75,8.9,8.9,8.8
唇辣号重庆老火锅(双榆树店),五星商户,187,￥96,9.1,9.1,9.1
京涮铜锅涮肉(马连道店),五星商户,201,￥87,9.1,9.2,9.1
壹捞百味蘸料火锅(常营店),五星商户,271,￥114,9.1,9.3,9.2
蜀一数二,五星商户,167,￥80,9.1,9.1,9.0
京涮铜锅涮肉(华贸店),准五星商户,102,￥88,8.8,9.2,9.1
高兴一锅潮汕鲜牛肉火锅(北京总店),五星商户,1563,￥105,9.1,9.0,9.1
虾吃虾涮(双井店),五星商户,852,￥78,9.1,8.9,9.2
密密骨羊蝎子(双榆树店),准五星商户,483,￥84,8.8,9.0,9.0
七只鱼粥庄(广式粥火锅),准五星商户,838,￥89,8.9,8.9,8.7
八月畔酸汤火锅(望京店),五星商户,325,￥132,9.1,9.2,9.1
耕牛堂（訸記）潮汕鲜牛肉火锅(金融街店),准五星商户,201,￥113,8.9,8.7,8.7
宋记汕头牛肉火锅(健德门店),五星商户,1260,￥106,9.1,8.9,8.8
山市,准五星商户,620,￥82,8.7,8.5,9.0
温鼎府(潮汕牛肉火锅),五星商户,395,￥420,9.1,9.3,9.2
王家渡火锅店(亦庄店),五星商户,1941,￥138,9.1,9.1,8.7
怡园四季椰子鸡火锅,准五星商户,1019,￥116,8.6,9.1,9.0
额尔敦传统涮,五星商户,663,￥121,9.1,9.1,8.6
陈记顺和潮汕牛肉火锅(海淀魏公村店),准五星商户,1353,￥97,8.9,8.6,8.0
三公潮汕鲜牛肉火锅,五星商户,631,￥108,9.1,8.2,8.9
小牛海记潮汕牛肉店(永定路店),五星商户,435,￥100,9.0,9.0,9.0
成都蜀大侠火锅(北京店),准五星商户,1125,￥124,8.8,8.7,8.2
色牛火锅·全牛宴鲜火锅(健德门店),五星商户,273,￥97,9.1,9.1,9.0
